Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access,RD Blends,RD Blends (French),RD Blended with Biodiesel,RD Maximum Biodiesel Level,NPS Unit Name,CNG Station Sells Renewable Natural Gas,LNG Station Sells Renewable Natural Gas,Maximum Vehicle Class,EV Workplace Charging,Funding Sources,EV J1772 Connector Count,EV J1772 Power Output (kW),EV CCS Connector Count,EV CCS Power Output (kW),EV CHAdeMO Connector Count,EV CHAdeMO Power Output (kW),EV J3400 Connector Count,EV J3400 Power Output (kW)
ELEC,Palmetto 57 Nissan,16725 NW 57th Ave,,Miami,FL,33055,,305-626-2600,E,,Public - Call ahead,Dealership business hours,,,,,,1.0,1.0,,Non-Networked,,200-8,25.92605,-80.29188,2024-02-12,39971,2024-02-12 15:25:05 UTC,P,,,2011-03-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,False,,,,,,,,LD,False,,0,,0,,1,44.0,0,
ELEC,Clay Cooley Nissan,4914 S IH-35,,Austin,TX,78745,,512-444-1400,E,,Public - Call ahead,Dealership business hours,,,,,,2.0,1.0,,Non-Networked,,200-8,30.20633,-97.75936,2024-02-12,39114,2024-02-12 15:25:05 UTC,P,,,2011-01-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,False,,,,,,,,LD,False,,1,,0,,0,,0,
ELEC,Benton Nissan - Hoover,1640 Montgomery Hwy,,Birmingham,AL,35216,,205-979-5420,E,,Public - Call ahead,Dealership business hours,,,,,,1.0,1.0,,Non-Networked,,200-8,33.39493,-86.80726,2024-02-12,39849,2024-02-12 15:25:05 UTC,P,,,2011-03-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,False,,,,,,,,LD,False,,0,,0,,1,44.0,0,
ELEC,Darcars Nissan,15911 Indianola Dr,,Rockville,MD,20855,,301-309-2200,E,,Public - Call ahead,Dealership business hours,,,,,,1.0,1.0,,Non-Networked,,200-8,39.11377,-77.16099,2024-02-12,40030,2024-02-12 15:25:05 UTC,P,,,2011-03-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,False,,,,,,,,LD,False,,1,,0,,0,,0,
ELEC,Liberty Square Garage,65 Beattie Pl,,Greenville,SC,29601,,864-467-4900,E,,Public,24 hours daily; pay lot,,,,,,2.0,,,Non-Networked,,200-9,34.85335,-82.394826,2024-10-11,38308,2024-10-11 18:09:31 UTC,LG,,,2011-03-15,,,,,J1772,US,,,,Public,,public,,,PAY_GARAGE,,,,,,,Free,,,,,,,,,,False,,,,,,,,LD,False,,1,,0,,0,,0,
ELEC,Kum & Go #134,1601 W Burlington Ave,,Fairfield,IA,52556,,641-472-8337,E,,Public,24 hours daily,,,,,,1.0,,,Non-Networked,,200-9,41.00709,-91.981752,2024-05-09,40997,2024-05-09 20:32:20 UTC,P,,,2011-06-01,,,,,J1772,US,,,,Public,,public,,,CONVENIENCE_STORE,,,,,,,Free,,,,,,,,,,False,,,,,,,,,False,,1,,0,,0,,0,
ELEC,Universal City Hilton,555 Universal Hollywood Dr,,Universal City,CA,91608,,818-506-2500,E,,Public - Call ahead,24 hours daily; pay lot; see valet for access; Drivers must bring their own J1772 cordset for Level 1 charging,,,,,1.0,10.0,,,Non-Networked,,200-8,34.13722,-118.35835,2024-07-11,7242,2024-07-11 19:05:43 UTC,P,,,1998-05-30,,,,,J1772 NEMA520,US,,,,Public - Appeler à l'avance,,public,CALL,,HOTEL,,,,,,,Free,,,,,,,,,,False,,,,,,,,LD,False,,0,,0,,0,,0,
ELEC,MGE ALDO LEOPOLD,300 Femrite Dr,Near main entrance,Madison,WI,53716,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,43.054704,-89.321148,2024-11-10,43308,2024-11-10 01:06:07 UTC,,,,2012-01-15,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,1,6.5,0,,0,,0,
ELEC,Helms Bakery Building,8800 Venice Blvd,,Los Angeles,CA,90034,,310-204-1865,E,,Public,24 hours daily,,,,,,6.0,,,Non-Networked,,200-9,34.029971,-118.385231,2023-06-12,21525,2024-01-31 22:07:01 UTC,P,,,2017-04-25,,,,,J1772,US,,,,Public,,public,,,PARKING_GARAGE,,,,,,,"$1.35 per hour for first two hours, $3 per hour thereafter",,,,,,,,,,False,,,,,,,,LD,False,,1,,0,,0,,0,
ELEC,Garber Nissan,5450 Bay Rd,,Saginaw,MI,48604,,989-790-0120,E,,Public - Call ahead,Dealership business hours,,,,,,1.0,,,Non-Networked,,200-8,43.48688,-83.97433,2024-02-12,44295,2024-02-12 15:25:05 UTC,P,,,2011-11-30,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,False,,,,,,,,LD,False,,1,,0,,0,,0,
ELEC,One Parking,555 12th St NW,Level P3,Washington,DC,20004,,202-393-0649,E,,Public,Restricted to garage hours; pay lot; leave key,,,,,,13.0,,,Non-Networked,,200-9,38.896703,-77.027621,2023-08-10,43836,2024-01-31 22:07:01 UTC,P,,,2012-03-01,,,,,J1772,US,,,,Public,,public,,,PAY_GARAGE,,,,,,,Free,,,,,,,,,,False,,,,,,,,LD,False,,13,,0,,0,,0,
ELEC,Mike Smith Nissan,1515 Interstate 10 S,,Beaumont,TX,77701,,409-833-7100,E,,Public - Call ahead,Dealership business hours,,,,,,1.0,,,Non-Networked,,200-9,30.062535,-94.133511,2024-02-12,39713,2024-02-12 15:25:05 UTC,P,,,2011-03-15,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,False,,,,,,,,,False,,1,,0,,0,,0,
ELEC,Toyota of Santa Monica,801 Santa Monica Blvd,At Lincoln Ct,Santa Monica,CA,90401,,310-394-6744,E,,Public - Call ahead,Dealership business hours; priority for customer use,,,,,,3.0,,,Non-Networked,,200-9,34.019875,-118.49151,2022-08-10,38379,2023-02-14 15:54:11 UTC,P,,,2010-11-15,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,,,,,,,,,,,True,,,,,,,,LD,False,,1,,0,,0,,0,
ELEC,Buena Park Nissan,6501 Auto Center Dr,,Buena Park,CA,90621,,714-739-0800,E,,Public - Call ahead,Dealership business hours,,,,,,3.0,1.0,,Non-Networked,,200-9,33.865497,-117.995215,2024-02-12,39872,2024-02-12 15:25:05 UTC,P,,,2011-03-15,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,False,,,,,,,,LD,False,,1,,0,,0,,0,
ELEC,Wallace Nissan Oldsmobile,2733 E Stone Dr,,Kingsport,TN,37660,,423-288-5500,E,,Public - Call ahead,Dealership business hours,,,,,,3.0,,,Non-Networked,,GPS,36.551978,-82.487762,2024-02-12,39812,2024-02-12 15:25:05 UTC,P,,,2011-03-15,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,False,,,,,,,,LD,False,,1,,0,,0,,0,
ELEC,City of Auburn Hills - Log Cabin Streetside Parking,3388 Auburn Rd,Just west of/at intersection of Auburn Road  and N Squirrel Road; single unit in front of log cabin along Auburn Road southern roadside.,Auburn Hills,MI,48326,,313-235-7700,E,,Public,24 hours daily,,,,,,2.0,,,Non-Networked,,GPS,42.6336,-83.220931,2023-06-12,40596,2024-03-07 18:17:06 UTC,T,,,2011-09-28,,,,,J1772,US,,,,Public,,public,,,STREET_PARKING,,,,,,,$1 per hour,,,,,,,,,,False,,,,,,,,MD,False,,1,,0,,0,,0,
ELEC,Clear Lake Nissan,2150 Gulf Fwy,,League City,TX,77573,,281-557-5300,E,,Public - Call ahead,Dealership business hours,,,,,,1.0,,,Non-Networked,,200-9,29.484543,-95.10255,2024-02-12,39737,2024-02-12 15:25:05 UTC,P,,,2011-03-15,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,False,,,,,,,,,False,,1,,0,,0,,0,
ELEC,Pacific View Mall,3295 E Main St,,Ventura,CA,93003,,805-642-5530,E,,Public,24 hours daily,,,,,,2.0,,,Non-Networked,,GPS,34.268,-119.2492,2023-07-11,21608,2024-01-31 22:07:01 UTC,P,,,2002-05-30,,,,,J1772,US,,,,Public,,public,,,SHOPPING_MALL,,,,,,,Free,,,,,,,,,,False,,,,,,,,LD,False,,1,,0,,0,,0,
ELEC,Anchor Nissan,1041 Eddie Dowling Hwy,Route 146,North Smithfield,RI,2896,,401-767-5000,E,,Public - Call ahead,Dealership business hours,,,,,,1.0,1.0,,Non-Networked,,200-8,41.96074,-71.4948,2024-02-12,42016,2024-02-12 15:25:05 UTC,P,,,2011-11-01,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,False,,,,,,,,LD,False,,0,,1,50.0,1,50.0,0,
ELEC,Sheraton Waikiki,2255 Kalakaua Avenue,,Honolulu,HI,96815,,855-885-9571,E,,Public,,,,,,,6.0,,,OpConnect,http://www.opconnect.com/,GPS,21.2782458,-157.8320917,2024-11-10,41987,2024-11-10 03:22:06 UTC,,,,2011-10-30,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,1,7.7,0,,0,,0,
ELEC,Dave Smith Nissan - Spokane,6901 E Sprague Ave,,Spokane Valley,WA,99212,,509-924-6242,E,,Public - Call ahead,Dealership business hours,,,,,,2.0,1.0,,Non-Networked,,200-8,47.65722,-117.31236,2024-02-12,39796,2024-02-12 15:25:05 UTC,P,,,2011-03-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,False,,,,,,,,LD,False,,1,,0,,0,,0,
ELEC,PIE AE MILWOOD LIB 2,12500 Amherst Dr,,Austin,TX,78727,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,30.422284,-97.71646,2024-11-10,41269,2024-11-10 01:04:00 UTC,,,,2011-09-01,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,1,6.5,0,,0,,0,
ELEC,Country Chevrolet,840 E Elm St,Located near highway 55,Annandale,MN,55302,,,E,,Public,8:30am-6pm M-F; 8:30am-2pm Sat,,,,,,3.0,,,Non-Networked,,GPS,45.25643,-94.10853,2024-04-14,41446,2024-11-08 14:57:45 UTC,P,,,2011-10-21,,,,,J1772,US,,,,Public,,public,,,CAR_DEALER,,,,,,,Free,,,,,,,,,,False,,,,,,,,LD,False,,1,19.2,0,,0,,0,
ELEC,Buena Park Nissan,6501 Auto Center Dr,,Buena Park,CA,90621,,714-739-0800,E,,Public - Call ahead,Dealership business hours,,,,,,3.0,1.0,,Non-Networked,,200-9,33.865497,-117.995215,2024-02-12,39872,2024-02-12 15:25:05 UTC,P,,,2011-03-15,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,False,,,,,,,,LD,False,,1,,0,,0,,0,
ELEC,Nissan of Van Nuys,5425 Van Nuys Blvd,,Sherman Oaks,CA,91401,,818-787-8400,E,,Public - Call ahead,Dealership business hours,,,,,,1.0,1.0,,Non-Networked,,200-8,34.16924,-118.44896,2024-02-12,39945,2024-02-12 15:25:05 UTC,P,,,2014-04-22,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,False,,,,,,,,LD,False,,0,,1,50.0,1,50.0,0,
ELEC,Fuccillo Nissan,7447 Blanding Blvd,,Jacksonville,FL,32244,,904-270-9954,E,,Public - Call ahead,Dealership business hours,,,,,,1.0,1.0,,Non-Networked,,200-9,30.212415,-81.736209,2024-02-12,39968,2024-02-12 15:25:05 UTC,P,,,2011-03-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,False,,,,,,,,LD,False,,1,,0,,0,,0,
ELEC,Fairfield Transportation Center,2000 Cadenasso Dr,,Fairfield,CA,94533,,707-434-3800,E,,Public,24 hours daily,,,,,,2.0,,2 Tesla Conductive,Non-Networked,,GPS,38.2482,-122.0678,2024-07-11,35146,2024-07-11 19:05:43 UTC,LG,,,2009-05-01,,,,,J1772,US,,,,Public,,public,,,TRAVEL_CENTER,,,,,,,Free,,,,,,,,,,False,,,,,,,,,False,,0,,0,,0,,0,
ELEC,AutoNation Nissan - Tempe,7755 S Autoplex Loop,,Tempe,AZ,85284,,480-598-6000,E,,Public - Call ahead,Dealership business hours,,,,,,1.0,1.0,,Non-Networked,,200-8,33.34607,-111.96735,2024-02-12,39863,2024-02-12 15:25:05 UTC,P,,,2011-03-15,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,False,,,,,,,,LD,False,,0,,1,50.0,1,50.0,0,
ELEC,Harrisonburg Electric Commission,89 W Bruce St,"Behind the HEC building, off S Liberty St",Harrisonburg,VA,22801,,540-434-5361,E,,Public,24 hours daily,,,,,,3.0,,,Non-Networked,,GPS,38.447533,-78.870744,2024-10-11,41395,2024-10-11 18:09:31 UTC,T,,,2011-10-03,,,,,J1772,US,,,,Public,,public,,,UTILITY,,,,,,,Free,,,,,,,,,,False,,,,,,,,LD,False,,1,,0,,0,,0,
ELEC,Passport Nissan - Alexandria,150 S Pickett St,,Alexandria,VA,22304,,703-823-9000,E,,Public - Call ahead,Dealership business hours,,,,,,3.0,1.0,,Non-Networked,,200-8,38.80967,-77.12219,2024-02-12,39763,2024-02-12 15:25:05 UTC,P,,,2011-03-15,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,False,,,,,,,,LD,False,,1,,0,,0,,0,
ELEC,Ohio Statehouse Parking Garage,60 E State St,"Capitol Square. Green level of garage, managed by the Capitol Square Review and Advisory Board",Columbus,OH,43215,,614-728-2564,E,,Public,24 hours daily; pay lot,,,,,,8.0,,,Non-Networked,,200-8,39.960356,-82.998458,2023-08-10,42640,2024-01-31 22:07:01 UTC,SG,,,2011-11-04,,,,,J1772,US,,,,Public,,public,,,PARKING_GARAGE,,,,,,,Free,,,,,,,,,,False,,,,,,,,LD,False,,1,,0,,0,,0,
ELEC,Passport Nissan - Alexandria,150 S Pickett St,,Alexandria,VA,22304,,703-823-9000,E,,Public - Call ahead,Dealership business hours,,,,,,3.0,1.0,,Non-Networked,,200-8,38.80967,-77.12219,2024-02-12,39763,2024-02-12 15:25:05 UTC,P,,,2011-03-15,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,False,,,,,,,,LD,False,,1,,0,,0,,0,
ELEC,Dick Smith Nissan,3670 Fernandina Rd,,Columbia,SC,29210,,803-772-8700,E,,Public - Call ahead,Dealership business hours,,,,,,2.0,1.0,,Non-Networked,,200-8,34.05518,-81.12812,2024-02-12,39842,2024-02-12 15:25:05 UTC,P,,,2011-03-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,False,,,,,,,,LD,False,,1,,0,,0,,0,
ELEC,Charlie Clark Nissan,3500 W Expressway 83,,Harlingen,TX,78552,,956-423-6975,E,,Public - Call ahead,Dealership business hours,,,,,,1.0,,,Non-Networked,,200-9,26.186259,-97.734663,2024-02-12,39725,2024-02-12 15:25:05 UTC,P,,,2011-03-15,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,False,,,,,,,,LD,False,,1,,0,,0,,0,
ELEC,MGE VILAS ZOO ADA,1339 Vilas Park Dr,,Madison,WI,53715,,888-758-4389,E,,Public,24 hours daily,,,,,,1.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,43.058323,-89.410359,2024-11-10,41525,2024-11-10 01:06:03 UTC,,,,2012-01-10,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,1,6.5,0,,0,,0,
ELEC,Larry H Miller Nissan - Mesa,2025 W Riverview Auto Dr,,Mesa,AZ,85201,,480-655-4000,E,,Public - Call ahead,Dealership business hours,,,,,,2.0,1.0,,Non-Networked,,GPS,33.434496378394535,-111.87162113624574,2024-02-12,39857,2024-02-12 15:25:05 UTC,P,,,2011-03-15,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,False,,,,,,,,LD,False,,1,,0,,0,,0,
ELEC,City of Rock Hill - Municipal Garage,121 E Black St,,Rock Hill,SC,29730,,803-325-2500,E,,Public,24 hours daily,,,,,,2.0,,,Non-Networked,,200-9,34.925782,-81.028444,2022-01-10,38310,2024-10-02 15:40:36 UTC,LG,,,2011-03-15,,,,,J1772,US,,,,Public,,public,,,MUNI_GOV,,,,,,,Free,,,,,,,,,,False,,,,,,,,LD,False,,1,,0,,0,,0,
ELEC,Nissan of Stockton,3077 E Hammer Ln,,Stockton,CA,95212,,209-956-6500,E,,Public - Call ahead,Dealership business hours,,,,,,2.0,1.0,,Non-Networked,,200-8,38.02221,-121.27534,2024-02-12,39948,2024-02-12 15:25:05 UTC,P,,,2011-03-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,False,,,,,,,,LD,False,,1,,0,,0,,0,
ELEC,Mission Trail Baptist Hospital,3333 Research Plaza,Located in the main parking lot,San Antonio,TX,78235,,210-297-3000,E,,Public,24 hours daily,,,,,,6.0,,,Non-Networked,,200-8,29.343808,-98.436931,2023-08-10,41941,2024-01-31 22:07:01 UTC,P,,,2011-11-15,,,,,J1772,US,,,,Public,,public,,,HOSPITAL,,,,,,,Free,,,,,,,,,,False,,,,,,,,,False,,1,,0,,0,,0,
ELEC,Timken Sports Complex,725 Rice Ave,,Union,SC,29379,,864-427-0150,E,,Public,24 hours daily,,,,,,2.0,,,Non-Networked,,200-9,34.716556,-81.648482,2023-06-12,38312,2024-01-31 22:07:01 UTC,LG,,,2011-03-15,,,,,J1772,US,,,,Public,,public,,,REC_SPORTS_FACILITY,,,,,,,,,,,,,,,,,False,,,,,,,,LD,False,,1,,0,,0,,0,
ELEC,Jupiter Town Hall Complex,210 Military Trail,"South of Indiantown Rd, on the west side of Military Trail. EVSE in southwest corner of parking lot near the cell tower.",Jupiter,FL,33458,,561-746-5134,E,,Public,24 hours daily,,,,,,2.0,,,Non-Networked,,GPS,26.9322,-80.1027,2022-10-11,40594,2023-02-14 15:54:11 UTC,LG,,,2011-07-14,,,,,J1772,US,,,,Public,,public,,,MUNI_GOV,,,,,,,Free,,,,,,,,,,False,,,,,,,,LD,True,,1,,0,,0,,0,
ELEC,North Bay Nissan,1250 Auto Center Dr,,Petaluma,CA,94952,,707-769-7700,E,,Public - Call ahead,Dealership business hours,,,,,,4.0,1.0,,Non-Networked,,200-9,38.267202,-122.665068,2024-02-12,39920,2024-02-12 15:25:05 UTC,P,,,2011-03-15,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,False,,,,,,,,LD,False,,1,,0,,0,,0,
ELEC,Kiefer Nissan,900 NW 4th St,,Corvallis,OR,97330,,541-753-1694,E,,Public - Call ahead,Dealership business hours,,,,,,1.0,,,Non-Networked,,GPS,44.572608,-123.258425,2024-02-12,39830,2024-02-12 15:25:05 UTC,P,,,2011-11-10,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,False,,,,,,,,,False,,1,,0,,0,,0,
